METADATA
initial_wait: 300
measures: 10
period: 1
depth: 0.30
lat: 0.00
lon: 0.00
timestamp: 2018/7/5 12:56:2
sample_counter: 1
name: KduinoPro1
maker: ICM-CSIC
curator: ICM-CSIC
email: 
sensors: TCS34725
description: Buoy1 KduinoPro1 depth03
place: lab ICM
units: counts, counts, counts, counts, lux, degree_celsius
DATA
DATE HOUR RED GREEN BLUE CLEAR LUX COLOR_TEMP
2018/7/5 12:57:0 11 11 9 31 7 5164
2018/7/5 12:58:0 12 12 10 34 7 5344
2018/7/5 12:59:0 4 3 3 9 1 5195
2018/7/5 13:0:0 10 13 12 34 9 7091
2018/7/5 13:1:0 15 19 16 48 12 6725
2018/7/5 13:2:0 19 27 23 67 19 7217
2018/7/5 13:3:0 19 27 23 67 19 7217
2018/7/5 13:4:0 24 30 26 79 19 7103
2018/7/5 13:5:0 33 38 35 102 24 7257
2018/7/5 13:6:0 23 29 26 75 19 7568
2018/7/5 13:7:0 3 3 3 9 1 7936
2018/7/5 13:8:0 3 3 3 8 1 8890
2018/7/5 13:9:0 20 20 17 54 11 5377
2018/7/5 13:10:0 7 9 7 23 5 6756
2018/7/5 13:11:0 9 10 8 27 6 5745
2018/7/5 13:12:0 2 2 2 7 1 7178
2018/7/5 13:13:0 0 0 0 0 0 65535
2018/7/5 13:14:0 0 0 0 0 0 65535
2018/7/5 13:15:0 1445 1369 1346 3707 706 7854
2018/7/5 13:16:0 5059 6763 6168 18067 4516 8203
2018/7/5 13:17:0 4471 5974 5392 15841 4030 7977
2018/7/5 13:18:0 4233 5790 5193 15239 3963 7957
2018/7/5 13:19:0 4097 5698 5092 14924 3936 7960
2018/7/5 13:20:0 3951 5563 4959 14518 3868 7964
2018/7/5 13:21:0 3838 5479 4880 14243 3830 8006
2018/7/5 13:22:0 3761 5436 4827 14086 3825 7999
2018/7/5 13:23:0 3685 5357 4751 13859 3782 7997
2018/7/5 13:24:0 3626 5299 4694 13688 3749 7999
2018/7/5 13:25:0 3604 5296 4688 13662 3756 8008
2018/7/5 13:26:0 3546 5225 4622 13467 3712 8005
2018/7/5 13:27:0 3525 5214 4611 13426 3710 8013
2018/7/5 13:28:0 3502 5192 4589 13361 3699 8010
2018/7/5 13:29:0 3488 5185 4580 13331 3698 8012
2018/7/5 13:30:0 3478 5167 4565 13290 3685 8011
2018/7/5 13:31:0 3479 5164 4562 13284 3682 8006
2018/7/5 13:32:0 3489 5176 4572 13314 3690 8002
2018/7/5 13:33:0 3480 5164 4561 13284 3682 8001
2018/7/5 13:34:0 3477 5163 4560 13280 3682 8003
2018/7/5 13:35:0 3458 5141 4539 13219 3670 8000
2018/7/5 13:36:0 3451 5139 4535 13207 3670 8002
2018/7/5 13:37:0 3440 5132 4528 13183 3668 8005
2018/7/5 13:38:0 3441 5143 4537 13206 3678 8009
2018/7/5 13:39:0 3434 5138 4532 13190 3677 8011
2018/7/5 13:40:0 3422 5122 4517 13145 3667 8007
2018/7/5 13:41:0 3432 5150 4541 13208 3690 8013
2018/7/5 13:42:0 3413 5119 4513 13131 3669 8009
2018/7/5 13:43:0 3416 5130 4521 13153 3677 8009
2018/7/5 13:44:0 3410 5125 4517 13138 3676 8013
2018/7/5 13:45:0 3395 5098 4493 13072 3655 8008
2018/7/5 13:46:0 3387 5085 4481 13038 3645 8004
2018/7/5 13:47:0 3384 5083 4479 13031 3646 8006
2018/7/5 13:48:0 3385 5082 4479 13032 3644 8005
2018/7/5 13:49:0 3383 5082 4478 13028 3645 8004
2018/7/5 13:50:0 3395 5104 4497 13084 3662 8008
2018/7/5 13:51:0 3376 5077 4472 13011 3644 8004
2018/7/5 13:52:0 2303 3458 3062 8803 2469 8098
2018/7/5 13:53:0 13 13 11 38 7 6097
2018/7/5 13:54:0 10 12 10 33 7 6330
2018/7/5 13:55:0 7 8 7 23 5 7078
2018/7/5 13:56:0 9 10 9 28 6 6971
