sensors,timestamp,max_diff
CLEAR_13_CLEAR_14,2018-08-21 13:32:08,157.0
CLEAR_13_CLEAR_15,2018-08-21 13:44:18,661.0
CLEAR_13_CLEAR_17,2018-08-21 13:32:00,852.0
CLEAR_13_CLEAR_18,2018-08-21 13:32:31,596.0
CLEAR_13_CLEAR_19,2018-08-21 13:32:57,1012.0
CLEAR_14_CLEAR_15,2018-08-21 13:44:23,702.0
CLEAR_14_CLEAR_17,2018-08-21 13:32:00,852.0
CLEAR_14_CLEAR_18,2018-08-21 13:32:31,670.0
CLEAR_14_CLEAR_19,2018-08-21 13:32:33,1086.0
CLEAR_15_CLEAR_17,2018-08-21 13:32:16,409.0
CLEAR_15_CLEAR_18,2018-08-21 13:44:39,300.0
CLEAR_15_CLEAR_19,2018-08-21 13:32:50,664.0
CLEAR_17_CLEAR_18,2018-08-21 13:44:02,412.0
CLEAR_17_CLEAR_19,2018-08-21 13:32:59,439.0
CLEAR_18_CLEAR_19,2018-08-21 13:32:59,616.0
